Concept Id,Name,Description,Synonyms,Answers,Set Members,Class,Datatype,Changed By,Creator
252,"REFERRAL FOR ANTIRETROVIRAL THERAPY","Referral to another institution for the purpose of starting or managing antiretroviral therapy","REFERRAL FOR ANTIRETROVIRAL THERAPY
CONSULTATION POUR TH?RAPIE ANTIR?TROVIRALE","","","Misc Order","N/A","eHealth System Developer","eHealth System Developer"
253,"Personal History of Abortion","The intentional, premature expulsion of a nonviable fetus from the uterus.","HISTORIQUE Avortement
PREGNANCY, TERMINATION
antecedente de: aborto
Personal History of Abortion
ABORTION","","","Diagnosis","N/A","eHealth System Developer","eHealth System Developer"
254,"OPHTHALMOLOGY REFERRAL","","OPHTHALMOLOGY REFERRAL
Eye care
R?f?rence en ophtalmologie","","","Misc Order","Boolean","eHealth System Developer","eHealth System Developer"
255,"DISCLOSURE COUNSELING","","DISCLOSURE COUNSELING","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
256,"ARV FOR MOTHER","ARVs given for PMTCT to mother during antenatal period. See concept 159595 for during labor and delivery.","ARV POUR LES M?RES
Mama mwenye maambukizi ya ukimwi
ARV FOR MOTHER","","","Procedure","Boolean","eHealth System Developer","eHealth System Developer"
257,"MENTAL HEALTH SERVICES","none","MENTAL HEALTH SERVICES","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
258,"NUTRITIONAL SUPPORT","none","NUTRITIONAL SUPPORT","","","Test","Numeric","eHealth System Developer","eHealth System Developer"
259,"PRENATAL CARE REFERRAL","","Prenatal Care
PRENATAL CARE REFERRAL
Soins Pr?natal","","","Misc Order","Boolean","eHealth System Developer","eHealth System Developer"
260,"REFERRALS ORDERED","Question on encounter form.  Answers are referrals made during a particular patient visit.","CONSULTATION DEMAND?E
REFERRALS ORDERED","ACCOMMODATION
REINTEGRATION INTO FAMILY
BIRTH CERTIFICATE
SUCCESSION PLANNING
FOSTER PARENTS
VOCATIONAL / APPRENTICESHIP TRAINING
HEALTH EDUCATION
CURATIVE CARE
TRAINING ON HOUSEHOLD FOOD SECURITY
PREVENTIVE CARE
SCHOOL VISIT / PERFORMANCE ASSESSMENT
LEGAL SERVICE
EDUCATIONAL MATERIALS
SCHOOL FEES/LEVIES WAIVER
CHILD CARE
CLINICAL CARE
EDUCATION/SCHOOLING
ONCOLOGY SERVICES
VCT
NUTRITIONIST
SOCIAL SUPPORT SERVICES
LACA FOOD DISTRIBUTION
PSYCHOSOCIAL COUNSELING
NGO
REFERRAL FOR IMAGING STUDY
FOOD BY PRESCRIPTION
FAMILY PLANNING SERVICES
SYMPTOMATIC TREATMENT
DENTAL CARE REFERRAL
EDUCATION/COUNSELING ORDERS
STI REFERRAL
REFERRAL FOR PREGNANCY TERMINATION
PREVENTION WITH POSITIVES COUNSELING
SUPPORT GROUP
PEDIATRIC ARV
DIAGNOSTIC TESTING AND COUNSELING FOR HIV
MEDICAL OUTPATIENT
FOOD BANK
Inpatient care or Hospitalization
BEDNET COUNSELING
CLINICAL OFFICER/DOCTOR
Tuberculosis Treatment or DOT Program
DAY CARE SERVICES
ORPHANS AND VULNERABLE CHILDREN
POSTNATAL CARE REFERRAL
HOME BASED CARE
SOCIAL WORKER
ALCOHOL COUNSELING
CLEAN WATER COUNSELING
COUNSELOR
REFERRAL FOR ANTIRETROVIRAL THERAPY
IEC MATERIALS PROVIDED
None
FAMILY COUNSELING
POSITIVE LIVING INFORMATION
OPHTHALMOLOGY REFERRAL
SYMPTOM AND PAIN FACT SHEET
Personal History of Abortion
HEMATOCRIT (HCT)
PHARMACY
MICRO FINANCE
COUNSELING
OB / GYN SERVICES
LIFE SKILLS SUPPORT
RECREATIONAL ACTIVITIES
FOOD AND NUTRITIONAL SUPPLEMENTS
Educated on importance of nutrition
WELFARE ASSISTANCE
ANC/PMTCT
PEER COUNSELING
FINANCIAL SUPPORT
YOUTH SUPPORT GROUP
PEOPLE LIVING WITH HIV AIDS
PEP SERVICES
ADHERENCE COUNSELING
TREATMENT SUPPORT
REFERRAL FOR OPPORTUNISTIC INFECTION TREATMENT
OTHER NON-CODED
NUTRITIONAL SUPPORT
PRENATAL CARE REFERRAL
ARV FOR MOTHER
MENTAL HEALTH SERVICES
DISCLOSURE COUNSELING
TOBACCO USE COUNSELING
INFANT FEEDING METHOD
Tested for HIV by EID
IMMUNIZATIONS
Rapid test
REFERENCE LEADER
ITN PROVIDED
SPIRITUAL LEADER","","Question","Coded","eHealth System Developer","eHealth System Developer"
261,"SERVICES ORDERED","Services requested during a clinical encounter.","SERVICES
SERVICES ORDERED","","REFERRALS ORDERED
EDUCATION/COUNSELING ORDERS","ConvSet","N/A","","eHealth System Developer"
262,"MALARIAL SMEAR","Peripheral smear study for malarial parasites is the gold standard in diagnosing malarial infection. It involves collection of a blood smear, staining and examination of the the red blood cells for intracellular malarial parasites.","GE
BS FOR MPS
Frottis palud?en
MALARIAL SMEAR
MP TEST","INDETERMINATE
POSITIVE
NEGATIVE","","Test","Coded","eHealth System Developer","eHealth System Developer"
263,"MEASLES VACCINATION","Vaccination against measles (IM).","VACCIN ANTI-ROUGEOLE
MEASLES VACCINATION
MEASLES IMMUNIZATION","UNKNOWN
YES
NO","","Procedure","Coded","eHealth System Developer","eHealth System Developer"
264,"POOR SAMPLE QUALITY","","PSQ
POOR SAMPLE QUALITY","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
265,"URINE PREGNANCY TEST","Test that determines pregnancy status through measure of hormone content in urine.","TEST DE GROSSESSE URINAIRE
kutumia mkojo katika kupima mimba
URINE PREGNANCY TEST","NEGATIVE
INDETERMINATE
POOR SAMPLE QUALITY
POSITIVE","","Test","Coded","eHealth System Developer","eHealth System Developer"
266,"Ectopic Pregnancy without Intrauterine Pregnancy","Implantation and subsequent development of a fertilized ovum outside the uterus, as in a fallopian tube.","GROSSESSE, EXTRA-UTERINE
PREGNANCY, ECTOPIC
Ectopic Pregnancy without Intrauterine Pregnancy
embarazo ect?pico","","","Diagnosis","N/A","eHealth System Developer","eHealth System Developer"
267,"PREGNANCY, HYPERTENSION ASSOCIATED","Pregnancy with an associated diastolic blood pressure of 90 mmHg.","PREGNANCY-INDUCED HYPERTENSION
PREGNANCY, HYPERTENSION ASSOCIATED
toxemia
PIH
GROSSESSE, AVEC HYPERTENSION
PREECLAMPSIA
TOXEMIA","","","Diagnosis","N/A","","eHealth System Developer"
268,"PREGNANCY, MISCARRIAGE","Pregnancy terminated by a spontaneous abortion.","PREGNANCY, MISCARRIAGE
GROSSESSE, FAUSSE COUCHE","YES
NO
UNKNOWN","","Diagnosis","Coded","eHealth System Developer","eHealth System Developer"
269,"VESICO-VAGINAL FISTULA","","vesicovaginal fistula
VESICO-VAGINAL FISTULA
VVF (vesicovaginal fistula)","","","Diagnosis","Boolean","eHealth System Developer","eHealth System Developer"
270,"TETANUS BOOSTER","Booster vaccination against tetanus.","RAPPEL VACCIN: T?TANOS
TETANUS BOOSTER","YES
UNKNOWN
NO","","Procedure","Coded","eHealth System Developer","eHealth System Developer"
272,"ACCIDENT, MOTOR VEHICLE","Injury and/or trauma due to motor vehicle accident.","MVA
MOTOR VEHICLE ACCIDENT
acidosis tubular renal
Accident de la route
Renal Tubular Acidosis
RTA
ROAD TRAFFIC ACCIDENT
ACCIDENT, MOTOR VEHICLE","","","Diagnosis","N/A","","eHealth System Developer"
273,"GENTAMICIN","Antibiotic (IV, topical) used for gram-negative infections.","GENTAMYCINE
GENTAMYCIN
GENTAMICIN
dawa za kuzuia bacteria","","","Drug","N/A","","eHealth System Developer"
274,"DYSPEPSIA","A disorder of digestive function characterized by discomfort or heartburn or nausea.","INDIGESTION
DYSPEPSIA
HEARTBURN","","","Symptom/Finding","N/A","","eHealth System Developer"
276,"PUERPERAL SEPSIS","An abnormal condition that results from infection of the placental site following delivery or abortion and is characterized in mild form by fever of not over 100.4?F (38.0?C) but may progress to a localized endometritis or spread through the uterine wall and develop into peritonitis or pass into the blood stream and produce septicemia.","CHILDBED FEVER
PEURPERAL FEVER
Puerperal Septicemia
PUERPERAL SEPSIS
septicemia puerperal","","","Diagnosis","N/A","eHealth System Developer","eHealth System Developer"
277,"TYPHOID FEVER","An acute, highly infectious disease caused by a bacillus (Salmonella typhi) transmitted chiefly by contaminated food or water and characterized by high fever, headache, coughing, intestinal hemorrhaging, and rose-colored spots on the skin.","TYPHOID FEVER
ENTERIC FEVER
fiebre tifoidea","","","Diagnosis","N/A","","eHealth System Developer"
278,"LABOR PAIN","Pain and discomfort associated with contractions of the uterus during labor.","LABOR PAIN","","","Diagnosis","N/A","","eHealth System Developer"
279,"FUNGAL INFECTION","unspecified infection with a fungus","Mycoses
FUNGAL INFECTION
FUNGAL INFECTION NOS
micosis","","","Diagnosis","N/A","","eHealth System Developer"
280,"CONDOMS","Methods for preventing pregnancy.","Mpira ya Kiume/kondom
CONDOMS
Pr?servatifs
????","","","Drug","N/A","eHealth System Developer","eHealth System Developer"
281,"SEIZURE","Epileptic seizure of unspecified type.","convulsi?n
Convulsion
SEIZURE
CONVULSION
Convulsions","1 day
5 Days
4 Days
3 Days
2 days
3 Weeks
2 Weeks
1 week
6 Days
6 Months
3 Months
2 Months
1 Month","","Diagnosis","Coded","Strategic Information","eHealth System Developer"
282,"ANTEPARTUM HEMORRHAGE","Vaginal bleeding in a pregnant women before birth.","hemorragia prenatal
ANTEPARTUM HEMORRHAGE
HEMORRHAGE ANTEPARTUM","YES
NO
UNKNOWN","","Finding","Coded","eHealth System Developer","eHealth System Developer"
283,"POSTPARTUM HEMORRHAGE","Vaginal bleeding in a pregnant women after birth.","Saignement post partum
HEMORRHAGE POSTPARTUM
POSTPARTUM HEMORRHAGE
hemorragia postparto","YES
UNKNOWN
NO","","Finding","Coded","eHealth System Developer","eHealth System Developer"
284,"REACTIVE","General descriptive term, often used to describe positive test findings.","REACTIVE
R?ACTIF","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
285,"NON-REACTIVE","General descriptive answer, often used in tests to describe a negative result.","NON-R?ACTIF
NON-REACTIVE","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
286,"VDRL","A flocculation test for syphilis employing cardiolipin in combination with lecithin and cholesterol.","SYPHILIS TEST (VDRL)
VDRL
VDRL","POOR SAMPLE QUALITY
NON-REACTIVE
REACTIVE","","Test","Coded","eHealth System Developer","eHealth System Developer"
287,"A POSITIVE","Describes a particular antigen combination on the surface of red blood cells: A, Rh positive.","A POSITIVE
A+","","","Finding","N/A","eHealth System Developer","eHealth System Developer"
288,"AB NEGATIVE","Describes a particular antigen combination on the surface of red blood cells: AB, Rh negative.","AB-
AB NEGATIVE","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
289,"B POSITIVE","Describes a particular antigen combination on the surface of red blood cells: B, Rh positive.","B POSITIVE
B+","","","Finding","N/A","eHealth System Developer","eHealth System Developer"
290,"O NEGATIVE","Describes a particular antigen combination on the surface of red blood cells: O, Rh negative.","O NEGATIVE
O-","","","Finding","N/A","eHealth System Developer","eHealth System Developer"
291,"B NEGATIVE","Describes a particular antigen combination on the surface of red blood cells: B, Rh negative.","B-
B NEGATIVE","","","Finding","N/A","eHealth System Developer","eHealth System Developer"
292,"O POSITIVE","Describes a particular antigen combination on the surface of red blood cells: O, Rh positive.","O+
O POSITIVE","","","Finding","N/A","eHealth System Developer","eHealth System Developer"
293,"A NEGATIVE","Describes a particular antigen combination on the surface of red blood cells: A, Rh negative.","A-
A NEGATIVE","","","Finding","N/A","eHealth System Developer","eHealth System Developer"
294,"AB POSITIVE","Describes a particular antigen combination on the surface of red blood cells: AB, Rh positive.","AB+
AB POSITIVE","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
295,"BLOOD TYPING","Blood typing tests are done before a person receives a blood transfusion and to check a pregnant woman's blood type. Human blood is classified, or typed, according to the presence or absence of certain markers (called antigens) on the surface of red blood cells.","BLOOD GROUP
BLOOD TYPING
Groupe Sanguin
Aina za damu","B NEGATIVE
O POSITIVE
A NEGATIVE
AB POSITIVE
A POSITIVE
AB NEGATIVE
B POSITIVE
O NEGATIVE","","Test","Coded","eHealth System Developer","eHealth System Developer"
296,"ABNORMAL","General descriptive answer.","ABNORMAL
Abnormaliti?s/ Anormal","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
297,"URINALYSIS ORDER","An examination of the urine by physical or chemical means. Urinalysis comprises a battery of chemical and microscopic tests that help to screen for urinary tract infections, renal disease, and diseases of other organs that result in abnormal metabolites (break-down products) appearing in the urine.","ANALYSE D'URINE
UA
URINALYSIS ORDER","ABNORMAL
NORMAL
UNKNOWN","","Test","Coded","eHealth System Developer","eHealth System Developer"
298,"Cestode Infection","A subclass of segmented worms comprising the tapeworms.","Cestode Infection
infecci?n por cestodos","","","Diagnosis","N/A","eHealth System Developer","eHealth System Developer"
299,"Ancylostomiasis due to Ancylostoma Duodenale","A genus of nematode intestinal parasites that consists of several species. A. duodenale is the common hookworm in humans. A. braziliense, A. ceylonicum, and A. caninum occur primarily in cats and dogs, but all have been known to occur in humans.","Ancylostomiasis due to Ancylostoma Duodenale
ancilostomiasis por Ancylostoma duodenale","","","Diagnosis","N/A","eHealth System Developer","eHealth System Developer"
300,"Infection by Ascaris Lumbricoides","A species of parasitic nematode that is the largest found in the human intestine. Its distribution is worldwide, but it is more prevalent in areas of poor sanitation. Human infection with A. lumbricoides is acquired by swallowing fully embryonated eggs from contaminated soil.","INFECTION PAR LARVES D'ASCARIDES
infecci?n por Ascaris lumbricoides
Infection by Ascaris Lumbricoides","","","Diagnosis","N/A","eHealth System Developer","eHealth System Developer"
301,"Infection due to Entamoeba Histolytica","Infection with any of various amebae. It is an asymptomatic carrier state in most individuals, but diseases ranging from chronic, mild diarrhea to fulminant dysentery may occur.","Infection due to Entamoeba Histolytica
infecci?n por Entamoeba histolytica","","","Diagnosis","N/A","eHealth System Developer","eHealth System Developer"
302,"Schistosoma Mansonii Infection","A species of trematode blood flukes of the family Schistosomatidae. It is common in the Nile delta. The intermediate host is the planorbid snail. This parasite causes schistosomiasis mansoni and intestinal bilharziasis.","Schistosoma Mansonii Infection
infecci?n por Schistosoma mansoni","","","Diagnosis","N/A","eHealth System Developer","eHealth System Developer"
303,"STOOL EXAM","Evaluation of stool under a microscope, usually for ova and parasites.","STOOL EXAM
EXAMEN DES SELLES
Kupima haja kubwa/kinyesi
STOOL MICROSCOPY","Schistosoma Mansonii Infection
OTHER NON-CODED
Ancylostomiasis due to Ancylostoma Duodenale
Infection by Ascaris Lumbricoides
Infection due to Entamoeba Histolytica
Cestode Infection","","Test","Coded","eHealth System Developer","eHealth System Developer"
304,"BRUCELLA TEST","Serologic test for Brucellosis","BRUCELLA TEST","REACTIVE
NON-REACTIVE","","Test","Coded","eHealth System Developer","eHealth System Developer"
305,"WIDAL TEST","The Widal test is used to demonstrate rising titres of antibodies to flagellar (H), somatic (O) antigens in typhoid and paratyphoid fever.  An increasing O antibody level signifies acute infection, whilst a raised H antibody level may indicate the serotype of the infecting organism.","WIDAL TEST","NON-REACTIVE
REACTIVE","","Test","Coded","eHealth System Developer","eHealth System Developer"
306,"OEDEMA","An abnormal excess accumulation of serous fluid in connective tissue or in a serous cavity.","OED?ME
Kuvimba sehemu za mwili kwa kujaa maji
DROPSY
EDEMA
OEDEMA
???  ????","NO
UNKNOWN
YES","","Finding","Coded","eHealth System Developer","eHealth System Developer"
307,"HYPEREMESIS GRAVIDARUM","Excessive vomiting during pregnancy.","HYPEREMESIS GRAVIDARUM
Excessive Vomiting in Pregnancy
hiperemesis grav?dica","","","Diagnosis","N/A","","eHealth System Developer"
308,"AST","Liver function test, which usually is used to detect liver injury.","S?RUM TRANSAMINASE GLUTAMIQUE-OXALAC?TIQUE
ASPARTATE AMINOTRANSFERASE
SGOT
SERUM GLUTAMIC-OXALOACETIC TRANSAMINASE
AST","","","Test","Numeric","eHealth System Developer","eHealth System Developer"
309,"ALT/SGPT","Liver function test, which usually is used to detect liver injury.SERUM GLUTAMIC-PYRUVIC TRANSAMINASE","ALT/SGPT
ALT
ALANINE AMINOTRANSFERASE
SGPT","","","Test","Numeric","eHealth System Developer","eHealth System Developer"
310,"CD4 PANEL","Breakdown of lymphocytes by surface receptors, including counts, percentiles and ratios.","LYMPHOCYTE SUBSET PANEL
CD4 PANEL","","","LabSet","N/A","eHealth System Developer","eHealth System Developer"
311,"Oral contraceptive pills","Female contraception method.  Ultimately will make a good MedSet.","BIRTH CONTROL PILLS
ORAL CONTRACEPTION
??? ????? ???
Oral contraceptive pills
CONTRACEPTIFS ORAUX","","","MedSet","N/A","eHealth System Developer","eHealth System Developer"
312,"POLIO VACCINATION, ORAL","Vaccination given for polio.","OPV (oral polio vaccine)
POLIO VACCINATION, ORAL
POLIO IMMUNIZATION, ORAL
oral polio vacc
ORAL POLIO VAX NO.2
ORAL POLIO VAX NO.1
ORAL POLIO VAX NO.0
ORAL POLIO VAX NO.3","NO
UNKNOWN
YES","","Procedure","Coded","eHealth System Developer","eHealth System Developer"
313,"Creatinine","Laboratory test that determines a blood serum creatinine level.  Often used with BUN to assess kidney function.","CR
CR?ATININE
Creatinine","","","Test","Numeric","eHealth System Developer","eHealth System Developer"
314,"URINARY ALBUMIN","Laboratory test for albumin in the urine.","URINARY ALBUMIN","","","Test","Numeric","eHealth System Developer","eHealth System Developer"
315,"VIRAL LOAD","This is a measure of the number of copies/ml of DNA/RNA in patients with HIV.","VIH CHARGE VIRALE
HIV VIRAL LOAD
Kipimo cha kujua  wingi wa virusi  vya ukimwi mwilini
VIRAL LOAD","","","Test","Numeric","eHealth System Developer","eHealth System Developer"
316,"BACILLE CAMILE-GUERIN VACCINATION","Deactivated tuberculous agent as basis for tuberculosis vaccination.","BCG IMMUNIZATION
BACILLE CAMILE-GUERIN VACCINATION
BCG VACCINE
BCG","YES
UNKNOWN
NO","","Procedure","Coded","eHealth System Developer","eHealth System Developer"
317,"SERUM GLUCOSE","Laboratory measurement of the glucose level in the blood in mg/ml","GLUCOSE
GLU
SERUM GLUCOSE
BLOOD SUGAR
GLYC?MIE","","","Test","Numeric","eHealth System Developer","eHealth System Developer"
318,"VARICELLA","An acute contagious disease especially of children that is marked by low-grade fever and formation of vesicles and that is caused by a herpesvirus.","VARICELLA
CHICKEN POX
Varicelle
varicela
chickenpox
????","","","Diagnosis","N/A","","eHealth System Developer"
319,"PENTAVALENT PNEUMOVAX","","VACCINATION, PENTAVALENT PNEUMOVAX
PENTAVALENT PNEUMOVAX
pneumovax
IMMUNIZATION, PENTAVALENT PNEUMOVAX","","","Drug","Boolean","eHealth System Developer","eHealth System Developer"
320,"DIPHTHERIA TETANUS AND PERTUSSIS VACCINATION","Vaccination given for diphtheria, tetanus, and acellular pertussis infections","DPT VACCINATION NO.3
DIPHTHERIA TETANUS AND PERTUSSIS VACCINATION
DIPHTHERIA TETANUS AND PERTUSSIS IMMUNIZATION
DPT VACCINATION NO.1
DPT VACCINATION NO.2
DTAP","UNKNOWN
YES
NO","","Procedure","Coded","eHealth System Developer","eHealth System Developer"
321,"HEPATITIS B VACCINATION","Vaccination given for hepatitis B.","HEPATITIS B VAX NO.3
HEPATITIS B IMMUNIZATION
HEPATITIS B VAX NO.2
HEPATITIS B VACCINATION
HEPATITIS B VAX NO.1","","","Drug","N/A","eHealth System Developer","eHealth System Developer"
322,"DIPHTHERIA TOXOID / HEPATITIS B VACCINES / PERTUSSIS, ACELLULAR / TETANUS TOXOID / HAEMOPHILUS CAPSULAR OLIGOSACCHARIDE","DTP+H. Influenza+Hep B Vaccine","DIPHTHERIA TOXOID / HEPATITIS B VACCINES / PERTUSSIS, ACELLULAR / TETANUS TOXOID / HAEMOPHILUS CAPSULAR OLIGOSACCHARIDE
DIPHT?RIE/H?PATITE B/COQUELUCHE/T?TANOS/HAEMOPHILUS B
DPT/HIB/HEPB VACCINE","","","Drug","N/A","eHealth System Developer","eHealth System Developer"
323,"HEMOPHILUS INFLUENZA B VACCINATION","Vaccine given for HIB.","HIB
HEMOPHILUS INFLUENZA B VACCINATION
HEMOPHILUS INFLUENZA B IMMUNIZATION","","","Drug","N/A","eHealth System Developer","eHealth System Developer"
324,"POLIO VACCINATION, INACTIVATED","","IPV
POLIO IMMUNIZATION, INACTIVATED
POLIO VACCINATION, INACTIVATED","","","Drug","Boolean","eHealth System Developer","eHealth System Developer"
325,"YELLOW FEVER VACCINATION","Vaccine given for Yellow Fever.","YELLOW FEVER VACCINATION","","","Drug","N/A","eHealth System Developer","eHealth System Developer"
326,"Measles Virus Vaccine Live, Enders' attenuated Edmonston strain / Mumps Virus Vaccine Live, Jeryl Lynn Strain / Rubella Virus Vaccine Live (Wistar RA 27-3 Strain)","","Measles, mumps and rubella vaccine
MMR II
Measles Virus Vaccine Live, Enders' attenuated Edmonston strain / Mumps Virus Vaccine Live, Jeryl Lynn Strain / Rubella Virus Vaccine Live (Wistar RA 27-3 Strain)
MMR (measles, mumps and rubella) vaccine","","","Drug","N/A","eHealth System Developer","eHealth System Developer"
327,"IMMUNIZATIONS","Information gathered from the pediatric return visit form.  Captures basic information about immunizations administered during a visit.","vaccinations
IMMUNIZATIONS","YELLOW FEVER VACCINATION
None
VITAMIN A
POLIO VACCINATION, INACTIVATED
HEMOPHILUS INFLUENZA B VACCINATION
Measles Virus Vaccine Live, Enders' attenuated Edmonston strain / Mumps Virus Vaccine Live, Jeryl Lynn Strain / Rubella Virus Vaccine Live (Wistar RA 27-3 Strain)
MEASLES VACCINATION
DIPHTHERIA TETANUS AND PERTUSSIS VACCINATION
BACILLE CAMILE-GUERIN VACCINATION
PENTAVALENT PNEUMOVAX
POLIO VACCINATION, ORAL
DIPHTHERIA TOXOID / HEPATITIS B VACCINES / PERTUSSIS, ACELLULAR / TETANUS TOXOID / HAEMOPHILUS CAPSULAR OLIGOSACCHARIDE
TETANUS BOOSTER
HEPATITIS B VACCINATION","","ConvSet","Coded","eHealth System Developer","eHealth System Developer"
328,"CONSTIPATION","Abnormally delayed or infrequent passage of dry hardened feces.","CONSTIPATION
Unspecified Constipation
CONSTIPATION
Kutopata choo
estre?imiento","","","Diagnosis","N/A","eHealth System Developer","eHealth System Developer"
329,"HEMATOCRIT (HCT)","Percent of whole blood that is composed of red blood cells.","PACKED CELL VOLUME
H?MATOCRITE
ni kiasi cha chembe chembe nyeundu za damu mwilini
CRIT
HEMATOCRIT (HCT)
PCV
HCT","","","Test","Numeric","eHealth System Developer","eHealth System Developer"
330,"PLATELETS","Minute, nonnucleated, disklike cytoplasmic bodies found in the blood plasma of mammals, derived from a megakaryocyte and function to promote blood clotting.","THROMBOCYTE
PLTS
PLATELETS
PLAQUETTES
BLOOD PLATELET","","","Test","Numeric","eHealth System Developer","eHealth System Developer"
331,"WBC","Blood test to measure the number of white blood cells.","GLOBULES BLANCS
Total WBC count
WHITE CELLS
LEUKOCYTE COUNT
WHITE BLOOD CELLS
WBC","","","Test","Numeric","eHealth System Developer","eHealth System Developer"
332,"RED BLOOD CELLS","Blood test to measure the number of red blood cells.","RB CELLS
RBCS
RED BLOOD CELLS
RBC count
RBC","","","Test","Numeric","eHealth System Developer","eHealth System Developer"
333,"MEAN CORPUSCULAR VOLUME","The volume of the average red blood cell in a given blood sample that is found by multiplying the hematocrit by 10 and dividing by the estimated number of red blood cells .","MCV
MEAN CORPUSCULAR VOLUME","","","Test","Numeric","eHealth System Developer","eHealth System Developer"
334,"RED CELL DISTRIBUTION WIDTH","Measurement of the amount that red blood cells vary in size","RED CELL DISTRIBUTION WIDTH
RDW","","","Test","Numeric","eHealth System Developer","eHealth System Developer"
335,"MEAN CORPUSCULAR HEMOGLOBIN","A calculation of the amount of oxygen-carrying hemoglobin inside RBCs. Since macrocytic RBCs are larger than either normal or microcytic RBCs, they would also tend to have higher MCH values.","MCH
MEAN CORPUSCULAR HEMOGLOBIN","","","Test","Numeric","eHealth System Developer","eHealth System Developer"
336,"MEAN CELL HEMOGLOBIN CONCENTRATION","Average concentration of hemoglobin in a given volume of blood.","MEAN CELL HEMOGLOBIN CONCENTRATION
MCHC","","","Test","Numeric","eHealth System Developer","eHealth System Developer"
337,"COMPLETE BLOOD COUNT","A broad screening test to check for such disorders as anemia, infection, and many other diseases. Includes white blood cell count, red blood cell count, hemoglobin, hematocrit, indices (MCV, MCH, MCHC, RDW), and often includes platelet count.","COMPLETE BLOOD COUNT
HEMOGRAM
FULL HEMOGRAM
CBC
HGM","","HEMATOCRIT (HCT)
HEMOGLOBIN (HB/PCV)
MEAN CELL HEMOGLOBIN CONCENTRATION
MEAN CORPUSCULAR HEMOGLOBIN
MEAN CORPUSCULAR VOLUME
PLATELETS
RED BLOOD CELLS
RED CELL DISTRIBUTION WIDTH
WBC","LabSet","N/A","eHealth System Developer","eHealth System Developer"
338,"HIV DNA POLYMERASE CHAIN REACTION, QUALITATIVE","Qualitiative test to determine HIV infection","TEST VIH (PSR), QUALITATIF
HIV DNA POLYMERASE CHAIN REACTION, QUALITATIVE
HIV PCR QUAL
HIV QUAL
ni hali ya  nzunguko wa usambazaji wa virusi vya ukimwi kwa kureact na chembechembe mwilini","NEGATIVE
POSITIVE
POOR SAMPLE QUALITY
INDETERMINATE","","Test","Coded","eHealth System Developer","eHealth System Developer"
339,"EQUIVOCAL","Descriptive term:  open to two or more interpretations; or of uncertain nature or significance.","EQUIVOCAL","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
340,"SYPHILIS RESULT","Qualitative interpretation of TPHA result.","TPHA QUAL
TREPONEMA PALLIDUM HEMAGGLUTINATION ASSAY, QUALITATIVE
SYPHILIS QUALITATIVE (TPHA)
TPHA QUALITATIVE
SYPHILIS RESULT","POOR SAMPLE QUALITY
EQUIVOCAL
POSITIVE
NEGATIVE","","Test","Coded","eHealth System Developer","eHealth System Developer"
341,"HIV RAPID TEST 1, QUALITATIVE","Qualitative interpretation of rapid HIV screening test 1.","HIV RAPID TEST 1, QUALITATIVE
HIV RAPID 1 QUAL","POOR SAMPLE QUALITY
NEGATIVE
POSITIVE","","Test","Coded","","eHealth System Developer"
342,"Procedure Refused","","procedimiento rechazado
Procedure Refused","","","Diagnosis","N/A","eHealth System Developer","eHealth System Developer"
343,"HIV ENZYME IMMUNOASSAY, QUALITATIVE","Qualitative interpretation of initial screening test for HIV","TEST VIH (ELISA), QUALITATIF
HIV EIA QUAL
Kipimo cha kupima ukimwi
HIV ELISA QUAL
HIV ENZYME IMMUNOASSAY, QUALITATIVE","INDETERMINATE
NEGATIVE
POOR SAMPLE QUALITY
UNKNOWN
Procedure Refused
POSITIVE","","Test","Coded","eHealth System Developer","eHealth System Developer"
344,"HIV WESTERN BLOT, QUALITATIVE","Qualitative interpretation of western blot test for HIV confirmation.","HIV WESTERN BLOT, QUALITATIVE
TEST VIH (WESTERN BLOT), QUALITATIF
magonjwa ya minyoo
HIV WB QUAL","NEGATIVE
POOR SAMPLE QUALITY
POSITIVE
INDETERMINATE","","Test","Coded","","eHealth System Developer"
345,"PARITY","The number of children a woman has delivered.","PARITY","","","Question","Numeric","","eHealth System Developer"
346,"LIVING WITH PARTNER","Answer which describes a type of civil status.","LIVING WITH PARTNER
Vit maritalement","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
347,"SEPARATED","Answer which describes a type of civil status.","S?par?
SEPARATED
Kutengana","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
348,"Single","Answer which describes a type of civil status.","Single
JAMAIS MARI?(E) (C?LIBATAIRE)","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
349,"WIDOWED","Answer which describes a type of civil status.","WIDOWED
SPOUSE DIED
Veuf/veuve
chembe chembe nyeupe za damu","","","Misc","N/A","eHealth System Developer","eHealth System Developer"
